"Cover_class","cover_number","percent_cover","region","extent","siteid","estuaryname"
"High",12305,0.0559356319749074,"South","Current Wetland Footprint","SC-AGH","Agua Hedionda"
"Low",27720,0.126008591494875,"South","Current Wetland Footprint","SC-AGH","Agua Hedionda"
"Mid",17698,0.0804509398368071,"South","Current Wetland Footprint","SC-AGH","Agua Hedionda"
"Upland",2795,0.0127054117326181,"South","Current Wetland Footprint","SC-AGH","Agua Hedionda"
"Water",159467,0.724899424960793,"South","Current Wetland Footprint","SC-AGH","Agua Hedionda"
"High",40955,0.0453096667629172,"South","Wetland Migration/All Areas (1.2 ft)","SC-AGH","Agua Hedionda"
"Low",20860,0.023078003874361,"South","Wetland Migration/All Areas (1.2 ft)","SC-AGH","Agua Hedionda"
"Mid",28451,0.0314761403753329,"South","Wetland Migration/All Areas (1.2 ft)","SC-AGH","Agua Hedionda"
"Upland",634082,0.70150272543924,"South","Wetland Migration/All Areas (1.2 ft)","SC-AGH","Agua Hedionda"
"Water",179543,0.198633463548149,"South","Wetland Migration/All Areas (1.2 ft)","SC-AGH","Agua Hedionda"
"High",173,0.0605954465849387,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-AGH","Agua Hedionda"
"Low",153,0.0535901926444834,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-AGH","Agua Hedionda"
"Mid",162,0.0567425569176883,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-AGH","Agua Hedionda"
"Upland",1049,0.367425569176883,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-AGH","Agua Hedionda"
"Water",1318,0.461646234676007,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-AGH","Agua Hedionda"
"High",46381,0.146776245419275,"South","Current Wetland Footprint","SC-BAT","Batiquitos Lagoon"
"Low",50506,0.159830125507123,"South","Current Wetland Footprint","SC-BAT","Batiquitos Lagoon"
"Mid",54380,0.172089696770233,"South","Current Wetland Footprint","SC-BAT","Batiquitos Lagoon"
"Upland",3914,0.012386154342749,"South","Current Wetland Footprint","SC-BAT","Batiquitos Lagoon"
"Water",160817,0.50891777796062,"South","Current Wetland Footprint","SC-BAT","Batiquitos Lagoon"
"High",76063,0.0674152423697748,"South","Wetland Migration/All Areas (1.2 ft)","SC-BAT","Batiquitos Lagoon"
"Low",84092,0.0745314089814903,"South","Wetland Migration/All Areas (1.2 ft)","SC-BAT","Batiquitos Lagoon"
"Mid",42075,0.0372914074215883,"South","Wetland Migration/All Areas (1.2 ft)","SC-BAT","Batiquitos Lagoon"
"Upland",763145,0.676381488217422,"South","Wetland Migration/All Areas (1.2 ft)","SC-BAT","Batiquitos Lagoon"
"Water",162901,0.144380453009725,"South","Wetland Migration/All Areas (1.2 ft)","SC-BAT","Batiquitos Lagoon"
"High",260,0.0807704255980118,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-BAT","Batiquitos Lagoon"
"Low",519,0.161230195712954,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-BAT","Batiquitos Lagoon"
"Mid",213,0.0661696178937558,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-BAT","Batiquitos Lagoon"
"Upland",996,0.309412861136999,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-BAT","Batiquitos Lagoon"
"Water",1231,0.382416899658279,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-BAT","Batiquitos Lagoon"
"High",7743,0.0229564382091428,"South","Current Wetland Footprint","SC-BOL","Bolsa Chica"
"Low",129621,0.384300203681687,"South","Current Wetland Footprint","SC-BOL","Bolsa Chica"
"Mid",18155,0.05382592479491,"South","Current Wetland Footprint","SC-BOL","Bolsa Chica"
"Upland",1006,0.0029825877358127,"South","Current Wetland Footprint","SC-BOL","Bolsa Chica"
"Water",180766,0.535934845578447,"South","Current Wetland Footprint","SC-BOL","Bolsa Chica"
"High",48946,0.045910576335033,"South","Wetland Migration/All Areas (1.2 ft)","SC-BOL","Bolsa Chica"
"Low",238535,0.223742069343298,"South","Wetland Migration/All Areas (1.2 ft)","SC-BOL","Bolsa Chica"
"Mid",29736,0.0278918991929584,"South","Wetland Migration/All Areas (1.2 ft)","SC-BOL","Bolsa Chica"
"Upland",212316,0.199149060702588,"South","Wetland Migration/All Areas (1.2 ft)","SC-BOL","Bolsa Chica"
"Water",536583,0.503306394426122,"South","Wetland Migration/All Areas (1.2 ft)","SC-BOL","Bolsa Chica"
"High",79,0.0177010979161999,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-BOL","Bolsa Chica"
"Low",1079,0.241765628501008,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-BOL","Bolsa Chica"
"Mid",97,0.0217342594667264,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-BOL","Bolsa Chica"
"Upland",597,0.133766524759131,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-BOL","Bolsa Chica"
"Water",2611,0.585032489356935,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-BOL","Bolsa Chica"
