"siteid","Ruggedness","Year","estuary","Region"
"SC-VEN",16,2022,"Ventura River","South"
"SC-TJES",25,2022,"Tijuana River Estuary South","South"
"SC-TJEN",12,2022,"Tijuana River Estuary North","South"
"SC-SWM",24,2022,"Sweetwater Marsh","South"
"SC-SSP",10,2022,"San Diego Bay: South salt ponds","South"
"SC-SEL",14,2022,"San Elijo Lagoon","South"
"SC-SEAL",51,2022,"Seal Beach","South"
"SC-NEW",42,2022,"Newport Bay","South"
"SC-MUGU",21,2022,"Point Mugu","South"
"SC-MAL",9,2022,"Malibu Lagoon","South"
"SC-LPL",17,2022,"Los Penasquitos Lagoon","South"
"SC-KFR",17,2022,"Mission Bay: Kendall-Frost Reserve","South"
"SC-HBW",13,2022,"Huntington Beach Wetlands","South"
"SC-GOL",31,2022,"Goleta Slough","South"
"SC-DEV",14,2022,"Devereaux Slough","South"
"SC-COL",6,2022,"Colorado Lagoon","South"
"SC-CARP",15,2022,"Carpinteria Estuary","South"
"SC-BOL",20,2022,"Bolsa Chica","South"
"SC-BAT",22,2022,"Batiquitos Lagoon","South"
"SC-AGH",24,2022,"Agua Hedionda","South"
