"estuaryname","siteid","function_name","indicator_name","metric_name","metric_score"
"Agua Hedionda","SC-AGH","SLR","resiliency","current_habitat_distribution",26.239516330659
"Batiquitos Lagoon","SC-BAT","SLR","resiliency","current_habitat_distribution",47.8696067696631
"Bolsa Chica","SC-BOL","SLR","resiliency","current_habitat_distribution",46.108256668574
"Carpinteria Estuary","SC-CARP","SLR","resiliency","current_habitat_distribution",75.1094755618407
"Colorado Lagoon","SC-COL","SLR","resiliency","current_habitat_distribution",2.11706102117061
"Devereaux Slough","SC-DEV","SLR","resiliency","current_habitat_distribution",81.4828769990789
"Goleta Slough","SC-GOL","SLR","resiliency","current_habitat_distribution",81.315614316401
"Huntington Beach Wetlands","SC-HBW","SLR","resiliency","current_habitat_distribution",48.1186429410331
"Mission Bay: Kendall-Frost Reserve","SC-KFR","SLR","resiliency","current_habitat_distribution",68.6306787004976
"Los Penasquitos Lagoon","SC-LPL","SLR","resiliency","current_habitat_distribution",95.0432736106894
"Malibu Lagoon","SC-MAL","SLR","resiliency","current_habitat_distribution",42.2110294495554
"Point Mugu","SC-MUGU","SLR","resiliency","current_habitat_distribution",92.7235675744363
"Newport Bay","SC-NEW","SLR","resiliency","current_habitat_distribution",61.6415871570319
"San Dieguito Lagoon","SC-SDL","SLR","resiliency","current_habitat_distribution",76.3267098721291
"Seal Beach","SC-SEAL","SLR","resiliency","current_habitat_distribution",73.7752094463583
"San Elijo Lagoon","SC-SEL","SLR","resiliency","current_habitat_distribution",89.0881809466913
"San Diego Bay: South salt ponds","SC-SSP","SLR","resiliency","current_habitat_distribution",63.9615402983174
"Sweetwater Marsh","SC-SWM","SLR","resiliency","current_habitat_distribution",64.4389582474459
"Tijuana River Estuary North","SC-TJEN","SLR","resiliency","current_habitat_distribution",71.2452764228995
"Tijuana River Estuary South","SC-TJES","SLR","resiliency","current_habitat_distribution",75.0166887034874
"Ventura River","SC-VEN","SLR","resiliency","current_habitat_distribution",79.4349501136027
