"","siteid","estuaryname","stationno","samplecollectiondate","transectreplicate","plotreplicate","covertype","scientificname","commonname","status","estimatedcover","percentcovercode","daubenmiremidpoint","tallestplantheight_cm","percentcovernotes","habitat","live_dead","identificationnotes","unknownreplicate","projectid","method","objectid","region","estuaryclass","mpastatus","estuarytype"
"1","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,1,"vegetation","Salicornia pacifica","Pickleweed","native",25,3,15,28,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"2","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,1,"vegetation","Distichlis spicata","salt grass","native",7,3,15,13,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"3","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,1,"vegetation","Jaumea carnosa","fleshy jaumea","native",40,4,37.5,27,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"4","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,1,"wrack","Not recorded","Not recorded","Not recorded",18,3,15,-88,"","Mid marsh","Not recorded","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"5","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,1,"vegetation","Salicornia pacifica","Pickleweed","native",10,3,15,42,"","Mid marsh","Dead","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"6","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,2,"vegetation","Atriplex semibaccata","Australian saltbush","invasive",5,2,3,68,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"7","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,2,"vegetation","Frankenia salina","alkali heath","native",20,3,15,23,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"8","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,2,"vegetation","Oxalis sp.","Oxalis sp.","Not recorded",20,3,15,10,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"9","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,2,"vegetation","Lysimachia arvensis","scarlet pimpernel","non-native",3,2,3,12,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"10","CC-MCS","Moro Cojo Slough",2,"2023-10-30",1,7,"vegetation","Picris echioides","Bristly oxtongue","invasive",7,3,15,80,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"11","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,3,"vegetation","Salicornia pacifica","Pickleweed","native",4,2,3,39,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"12","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,3,"vegetation","Not recorded","Not recorded","Not recorded",1,1,0.5,10,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"13","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,3,"vegetation","Distichlis spicata","salt grass","native",3,2,3,30,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"14","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,3,"vegetation","Frankenia salina","alkali heath","native",4,2,3,27,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"15","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,3,"vegetation","Jaumea carnosa","fleshy jaumea","native",30,4,37.5,11,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"16","CC-MCS","Moro Cojo Slough",2,"2023-10-30",1,8,"vegetation","Picris echioides","Bristly oxtongue","invasive",5,2,3,13,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"17","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,3,"wrack","Not recorded","Not recorded","Not recorded",30,4,37.5,-88,"","Mid marsh","Not recorded","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"18","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,4,"vegetation","Frankenia salina","alkali heath","native",8,3,15,20,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"19","SC-NEW","Newport Bay",2,"2023-09-16",3,3,"algae","Ulva intestinalis","gutweed","native",25,3,15,-88,"wrack (on top)","Brackish marsh","Live","",-88,"EMPA","within_elevation",8,"South","Embayment","MPA","Perennially Open"
"20","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,4,"vegetation","Lysimachia arvensis","scarlet pimpernel","non-native",15,3,15,28,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"21","SC-BAT","Batiquitos Lagoon",2,"2021-04-11",3,1,"vegetation","Brassica sp.","mustard","non-native",5,2,3,60,"Not recorded","High marsh","Dead","-88",-88,"EMPA","within_elevation",1,"South","Embayment","MPA","Perennially Open"
"22","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,4,"vegetation","Oxalis sp.","Oxalis sp.","Not recorded",20,3,15,20,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"23","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,5,"vegetation","Frankenia salina","alkali heath","native",55,5,62.5,20,"","Mid marsh","Live","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
"24","SC-BOL","Bolsa Chica",3,"2023-10-30",2,6,"vegetation","Ulva intestinalis","gutweed","native",80,6,85,1,"","Low marsh","Live","",1,"Bight-Estuary-23","across_elevation",55,"South","Lagoonal","MPA","Perennially Open"
"25","SC-MAL","Malibu Lagoon",1,"2023-04-16",1,5,"wrack","Not recorded","Not recorded","Not recorded",5,2,3,-88,"","Mid marsh","Not recorded","",-88,"SMBRC-Prop50","within_elevation",6,"South","Lagoonal","NON-MPA","Temporarily Closed"
