siteid,estuaryname,Region,landcover,rastercount,percent,buffer
NC-TEN,Ten Mile River,North,Natural,4940,80,500 m
NC-TEN,Ten Mile River,North,Developed,1057,17,500 m
NC-TEN,Ten Mile River,North,Ag,186,3,500 m
NC-BIGR,Big River,North,Natural,9402,89,500 m
NC-BIGR,Big River,North,Developed,1168,11,500 m
NC-BIGR,Big River,North,Ag,2,0,500 m
NC-NAV,Navarro River,North,Natural,7841,87,500 m
NC-NAV,Navarro River,North,Developed,1186,13,500 m
NC-NAV,Navarro River,North,Ag,0,0,500 m
NC-DRA,Drakes Estero,North,Natural,24989,99,500 m
NC-DRA,Drakes Estero,North,Developed,336,1,500 m
NC-DRA,Drakes Estero,North,Ag,59,0,500 m
NC-BOL,Bolinas Lagoon,North,Natural,6660,74,500 m
NC-BOL,Bolinas Lagoon,North,Developed,2345,26,500 m
NC-BOL,Bolinas Lagoon,North,Ag,13,0,500 m
CC-PAJ,Pajaro,Central,Natural,5854,26,500 m
CC-PAJ,Pajaro,Central,Developed,4295,19,500 m
CC-PAJ,Pajaro,Central,Ag,12571,55,500 m
CC-MCS,Moro Cojo,Central,Natural,5467,35,500 m
CC-MCS,Moro Cojo,Central,Developed,4557,29,500 m
CC-MCS,Moro Cojo,Central,Ag,5640,36,500 m
CC-CAR,Carmel,Central,Natural,954,29,500 m
CC-CAR,Carmel,Central,Developed,2184,66,500 m
CC-CAR,Carmel,Central,Ag,149,5,500 m
CC-ADLC,Arroyo de la Cruz,Central,Natural,1497,94,500 m
CC-ADLC,Arroyo de la Cruz,Central,Developed,92,6,500 m
CC-ADLC,Arroyo de la Cruz,Central,Ag,0,0,500 m
CC-MOR,Morro Bay,Central,Natural,9726,62,500 m
CC-MOR,Morro Bay,Central,Developed,5777,37,500 m
CC-MOR,Morro Bay,Central,Ag,61,0,500 m
SC-GOL,Goleta Slough,South,Natural,1232,17,500 m
SC-GOL,Goleta Slough,South,Developed,5874,80,500 m
SC-GOL,Goleta Slough,South,Ag,193,3,500 m
SC-VEN,Ventura River,South,Natural,246,20,500 m
SC-VEN,Ventura River,South,Developed,915,74,500 m
SC-VEN,Ventura River,South,Ag,68,6,500 m
SC-MAL,Malibu Lagoon,South,Natural,222,15,500 m
SC-MAL,Malibu Lagoon,South,Developed,1176,82,500 m
SC-MAL,Malibu Lagoon,South,Ag,38,3,500 m
SC-NEW,Newport Bay,South,Natural,2902,13,500 m
SC-NEW,Newport Bay,South,Developed,19223,87,500 m
SC-NEW,Newport Bay,South,Ag,48,0,500 m
SC-BAT,Batiquitos Lagoon,South,Natural,1182,16,500 m
SC-BAT,Batiquitos Lagoon,South,Developed,6198,84,500 m
SC-BAT,Batiquitos Lagoon,South,Ag,0,0,500 m
SC-BOL,Bolsa Chica,South,Natural,3255,26,500 m
SC-BOL,Bolsa Chica,South,Developed,9417,74,500 m
SC-BOL,Bolsa Chica,South,Ag,9,0,500 m
NC-TEN,Ten Mile River,North,Natural,266,58,30 m
