siteid,stationno,year,index,biotic,physical
NC-TEN,1,2023,85,86.11,62.5
NC-TEN,2,2023,93,88.89,87.5
NC-TEN,3,2023,95,86.11,100
NC-BIGR,1,2023,90,91.67,100
NC-BIGR,2,2023,81,72.22,87.5
NC-BIGR,3,2023,90,86.11,100
NC-NAV,1,2023,80,66.67,75
NC-NAV,2,2023,78,72.22,62.5
NC-NAV,3,2023,63,50,37.5
CC-PAJ,1,2021,57,55.56,50
CC-PAJ,2,2021,71,72.22,75
CC-PAJ,3,2021,63,80.56,50
CC-MCS,1,2021,54,69.44,37.5
CC-MCS,2,2021,51,55.56,37.5
CC-MCS,3,2021,60,80.56,37.5
CC-CAR,1,2021,91,97.22,100
CC-CAR,2,2021,91,97.22,100
CC-CAR,3,2021,72,55.56,75
CC-ADLC,1,2021,85,72.22,75
SC-GOL,1,2022,58,75,50
SC-GOL,2,2022,64,72.22,62.5
SC-GOL,3,2022,63,75,62.5
SC-VEN,1,2022,72,86.11,62.5
SC-VEN,2,2022,65,75,87.5
SC-VEN,3,2022,77,80.56,37.5
SC-MAL,1,2022,65,61.11,62.5
SC-MAL,2,2022,60,66.67,37.5
SC-MAL,3,2022,69,72.22,87.5
SC-NEW,2,2021,58,52.78,75
SC-BAT,1,2021,64,61.11,62.5
SC-BAT,2,2021,68,63.89,62.5
SC-BAT,3,2021,65,63.89,50
